Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
7243184	74	0	3953	1976.5	0	3953
7243185	4878	41	15958	8045.5	133	15958
7243186	395	0	6490	3245	0	6490
7243188	963	0	6873	3436.5	0	6873
7243189	3116	20	18413	9216.5	20	18413
7243190	303	0	13093	6546.5	0	13093
7243191	1398	12	4728	2370	12	4728
7243192	6135	84	12205	6144.5	84	12205
7243193	6492	81	13204	6642.5	81	13204
7243194	5453	48	11961	6004.5	48	11961
7243195	98	0	10155	5077.5	0	10155
7243196	11046	1205	17185	8959	1205	16713
7243198	8787	185	16553	8369	185	16553
7243199	6752	67	16630	8348.5	67	16630
7243200	474	0	7176	3588	0	7176
7243201	704	0	18907	9453.5	0	18907
7243202	9193	231	17654	8942.5	231	17654
7243203	179	0	15323	7661.5	0	15323
7243204	42	0	2179	0	0	0
7243205	772	0	37048	18525	2	37048
7243208	833	0	12257	6128.5	0	12257
7243209	893	0	13087	6543.5	0	13087
7243210	2932	2	15562	7782	2	15562
7243211	7206	419	10976	5682.5	419	10946
7243212	6364	140	12597	6368.5	140	12597
7243213	6515	235	11359	5797	235	11359
7243214	3	0	9625	4812.5	0	9625
7243215	8566	59	19623	9841	59	19623
7243216	5356	35	13165	6600	35	13165
7243217	110	0	18408	9204	0	18408
7243219	353	2	7115	3558.5	2	7115
7243220	789	0	5573	2786.5	0	5573
7243221	1892	10	11775	5894.5	14	11775
7243223	1290	6	27185	13595.5	6	27185
7243224	1204	0	12688	6346	4	12688
7243225	431	0	8887	4444	1	8887
7243226	183	0	19478	9739	0	19478
7243227	9017	119	18632	9375.5	119	18632
7243228	7318	611	12226	6102	611	11593
7243230	7144	2437	13127	8659	4191	13127
7243232	7	0	817	408.5	0	817
7243233	6170	388	9570	4914.5	388	9441
7243234	4841	77	11348	6802	2256	11348
7243235	76	0	2173	926	0	1852
7263001	3266	40	9370	4705	40	9370
7263180	5521	3210	12251	8422	4593	12251
7263181	7503	4638	15094	10120	5146	15094
7263182	7564	2504	13295	7998	2701	13295
7263183	7575	3564	14688	9881	5074	14688
7263184	2537	262	4058	2153.5	262	4045
7263185	8040	469	13872	7170.5	469	13872
7263186	4528	2327	9279	6242.5	3206	9279
7263187	3466	22	14970	7496	22	14970
7263188	1222	0	22594	11297	0	22594
7263189	7546	2057	12955	7349.5	2057	12642
7263190	1905	6	16065	8035.5	6	16065
7263191	4595	581	7342	3961.5	581	7342
7273106	4502	1334	6775	4126.5	1478	6775
7283010	138	0	16035	8020	5	16035
7283011	5397	923	8402	4662.5	923	8402
7283012	5014	88	7494	3791	88	7494
7283013	3148	1351	5779	3585	1391	5779
7283014	2667	849	5434	3045	1255	4835
7283015	6136	574	9958	5266	574	9958
7283016	3385	543	5461	3002	543	5461
7283017	9476	340	16304	8322	340	16304
7283018	646	0	4660	2330	0	4660
7283019	4293	1553	7803	4678	1553	7803
7283020	7009	2535	13782	8158.5	2535	13782
7283021	5691	467	9114	4790.5	467	9114
7283022	6307	422	10039	5230.5	422	10039
7283023	4837	39	10044	5041.5	39	10044
7283024	7827	3455	15969	8454.5	3455	13454
7283025	6622	2464	11471	6647.5	2488	10807
7283028	7463	188	14600	7394	188	14600
7283029	8249	2420	13788	8081	2420	13742
7283030	7515	127	14058	7092.5	127	14058
7283031	7415	2263	11963	7127.5	2292	11963
7283032	9300	1752	14273	8012.5	1752	14273
7283033	5960	967	9663	5030	967	9093
7283034	5126	33	14232	7132.5	33	14232
7283035	8268	903	12281	6592	903	12281
7283036	3942	777	6148	3462.5	777	6148
7283037	7981	234	14944	7589	234	14944
7283038	2044	14	6040	3027	14	6040
7283039	984	314	1701	1089	477	1701
7283040	626	4	11602	5803	4	11602
7283041	8257	1832	13166	7499	1832	13166
7283042	5937	421	10484	5452.5	421	10484
7283043	3565	1622	7761	4976	2191	7761
7283044	8876	304	15650	7977	304	15650
7283045	3690	9	19190	9599.5	9	19190
7293001	13	0	18734	9367	0	18734
7293002	8695	179	28363	9670.5	700	18641
7293003	115	0	13575	6659	2	13316
7293004	1642	35	26297	11729.5	55	23404
7293005	5	0	640	140.5	0	281
7293006	1869	15	33641	15218.5	87	30350
7293007	6626	111	27055	10619	1217	20021
7293008	5633	83	24820	8858.5	532	17185
7293009	2365	39	22484	9580	235	18925
7293075	744	4	27380	13713	46	27380
