Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
U3131	1360	5	36859	18432	5	36859
U3132	2389	2	29325	14665	5	29325
U3133	1158	0	30295	15148.5	2	30295
U3134	936	6	18103	9055.5	8	18103
U3135	3178	5	29329	14667	5	29329
U3136	2463	0	51096	25549	2	51096
U3137	2221	11	27342	13870.5	399	27342
U3138	9707	22	65535	32778.5	22	65535
U3139	6154	24	25051	12537.5	24	25051
U3140	4532	22	20426	10224	22	20426
U3141	5693	58	15595	7826.5	58	15595
U3142	7507	201	25142	12671.5	201	25142
U3143	2422	5	27814	13909.5	5	27814
U3144	4645	181	26369	13291.5	214	26369
U3145	4749	142	16192	8180	168	16192
U3146	543	0	24293	12146.5	0	24293
U3147	9727	174	21276	10725	174	21276
U3148	7028	63	17144	8603.5	63	17144
U3149	8492	180	21694	10937	180	21694
U3150	9168	105	16792	8448.5	105	16792
U3151	8567	98	34193	17145.5	98	34193
U3152	4431	72	19483	9780	77	19483
U3153	4289	7	25844	12925.5	7	25844
U3154	6917	146	28814	14492	170	28814
U3155	9893	304	20761	10608.5	456	20761
U3156	10223	50	27754	13902	50	27754
U3157	9999	82	29587	14928	269	29587
U3158	11499	236	23826	12031	236	23826
U3159	3222	91	24658	12374.5	91	24658
U3160	4563	107	35831	17985.5	140	35831
U3161	5241	266	29079	14714	349	29079
U3162	5241	115	26194	13154.5	115	26194
U3163	6872	227	19266	9896.5	527	19266
U3164	8786	134	23104	11619	134	23104
U3165	6006	185	19323	9936.5	550	19323
U3166	6478	45	20298	10171.5	45	20298
U3167	1759	52	15835	7943.5	52	15835
U3168	3358	81	18621	9351	81	18621
U3169	4196	158	23100	11703.5	307	23100
U3170	5750	191	18278	9323	368	18278
U3171	925	0	23917	11958.5	0	23917
U3172	351	0	21750	10875	0	21750
U3173	11684	128	30023	15075.5	128	30023
U3174	672	0	31935	15971	7	31935
U3175	680	0	32340	16170	0	32340
U3176	1037	0	35178	17590	2	35178
U3177	1044	8	52977	26493	9	52977
U3178	496	0	4927	2463.5	0	4927
U3179	2097	0	53049	26524.5	0	53049
U3180	5154	22	29993	15007.5	22	29993
U3181	5477	21	25848	12934.5	21	25848
U3182	8105	155	20116	10135.5	155	20116
U3183	1765	10	28996	14503	10	28996
U3184	451	0	46774	23387	0	46774
U3185	2356	2	44664	22334	4	44664
U3186	657	0	24401	12200.5	0	24401
U3187	10216	186	26248	13217	186	26248
U3188	12204	641	19875	10470.5	1066	19875
U3189	6575	15	24152	12083.5	15	24152
U3190	10967	506	19410	10116.5	823	19410
U3191	1845	0	38040	19022	4	38040
U3192	2851	55	27908	13981.5	55	27908
U3193	3749	110	30817	15463.5	110	30817
U3194	844	0	28008	14004	0	28008
U3195	2085	2	30295	15148.5	2	30295
U3196	5961	54	17075	8570.5	66	17075
U3197	3920	7	17749	8878	7	17749
U3198	7540	133	16455	8343.5	232	16455
U3199	2880	10	34166	17088	10	34166
U3200	6917	456	23741	12238.5	736	23741
U3201	4935	66	30613	15339.5	66	30613
U3202	5039	71	20615	10343	71	20615
U3203	7450	196	19414	9824	234	19414
U3204	8405	225	19537	10084.5	632	19537
U3205	13262	388	24769	12699	629	24769
U3206	10148	273	19841	10180	519	19841
U3207	4265	61	14938	5812	464	11160
U3208	5327	254	24728	12568.5	409	24728
U3209	6092	5	46985	23495	5	46985
U3210	5213	14	22518	11266	14	22518
U3211	8803	114	23312	11713	114	23312
U3212	9220	50	23347	11698.5	50	23347
U3213	7380	150	16270	8212	154	16270
U3214	5404	20	22623	11321.5	20	22623
U3215	3052	7	9467	4688	7	9369
U3216	5739	396	21610	11244.5	879	21610
U3217	4351	40	25102	12571	40	25102
U3218	5531	30	23318	11674	30	23318
U3219	8553	142	22514	11328	142	22514
U3220	9457	49	26133	13091	49	26133
U3221	8874	602	15795	8534	1273	15795
U3222	8163	417	14461	7557.5	654	14461
U3223	3385	28	25489	12758.5	28	25489
U3224	6571	164	18273	9260	247	18273
U3225	7473	79	30275	15177	79	30275
U3226	7741	175	17262	8718.5	175	17262
