Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07283041	2923.5	29	6487	2028.5	823	3154
07283042	2308	13	5168	1534.5	203	2775
07283043	1739	5	4765	1440	828	2417
07283044	2954	10	6588	2014	176	3855
07283045	2199	1	7592	2592	2	4396
07293001	613	0	7165	2962	0	5283
07293002	4063	0	8523	2523	157	5548
07293003	2230	0	5964	3256	0	5616
07293004	3573	0	8104	3116	20	5950
07293005	148	0	644	435.5	0	644
07293006	4389	3	9166	3478	35	6816
07293007	3905	1	8458	2688.5	34	5635
07293008	3697	0	8213	2463	20	5087
07293009	3394	1	7474	2647	12	5393
07293075	3885	0	8766	3465	25	6475
07293076	3860	2	8818	2537	20	5569
07293077	3492.5	0	7951	2564	20	5155
07293078	3580	0	7998	2939	25	5891
07293079	3882	0	8627	3349	10	6430
07293081	3799	0	9081	2413	34	5330
07293082	3506.5	0	7857	2327	31	5141
07293083	3798	0	7959	2248	41	4629
07293084	977	0	9296	3789.5	0	6480
07293085	3358.5	0	7401	2926	4	5564
07293086	729	0	3704	1720	0	2905
07293087	3391	0	7613	2268	15	5123
07293088	3646	0	7675	2736.5	36	5826
07293089	3756	0	7750	2681	28	5726
07293090	3821	0	7785	2623	38	5629
07293091	651	0	8547	2781	0	4203
07293092	3661.5	0	7699	2688	26	5633
07293093	3533.5	0	7496	2964.5	11	5802
07293094	3510	0	7998	2787	15	5656
07293095	2964	2	6094	2340.5	12	4265
07293096	4252	1	8159	2672	70	5444
07293097	1226	0	5759	3232.5	0	5418
07293098	341	0	1433	646	0	981
07293099	4111	2	8811	2737.5	56	6513
07293100	3241	0	7337	2559	19	5115
07293101	406.5	0	7754	2668	0	4054
07293102	3297	0	8285	3582.5	5	6112
07293103	3902	0	8514	2852	13	5966
07293104	3787.5	0	8390	3121	24	6323
07293105	4078	2	7723	2518	59	4939
07293106	4372	0	9030	3911.5	1	6863
07293107	4067	0	9034	3853	10	6813
07293108	3997	0	8877	3620.5	10	6687
07293109	3492.5	0	7378	2803.5	29	5486
07293110	3611	0	7586	2497.5	37	5325
07293111	3763.5	0	7962	3407	77	5641
07293112	3466	0	7981	3431	4	5891
07293113	445	0	7025	3186	0	5443
07293114	3856	0	8650	2688	19	5807
07293115	3927	0	8706	3176	22	6534
07293116	3340.5	0	7560	2689	21	5465
07293117	3331	0	7287	2750	17	5460
07293118	3425	1	8160	2324.5	34	5430
07293119	435.5	0	2217	453.5	0	1016
07293120	3631	1	8130	2754	40	5675
07293121	3617	1	7855	3246	17	6043
07293122	3754	0	8666	3417	29	6740
07293123	3823	2	8943	2716	54	5963
07293124	3688	1	7906	3032.5	19	5943
07293125	627	0	6002	2136	0	3339
07293126	3686.5	0	7876	3188	9	5703
07293127	3733	0	8482	3095	20	6240
07293128	1868.5	0	8056	3663	0	6417
07293129	3351	1	7645	2341	35	5119
07293131	3519	1	8064	3015	25	5825
07293132	3543	5	8033	2831	27	5979
07293133	3913	0	8294	3364.5	11	6203
07293134	3292	0	7984	3280	5	5806
07293135	3301	0	7332	2346	26	4863
07293136	3297.5	0	7405	2515	30	5312
07293137	479.5	0	6687	2520	0	3956
07293138	3378	1	36032	2377	22	4940
07293139	3382.5	0	7108	2141	32	4445
07293140	2922	0	7716	3353.5	0	5637
07293141	3945.5	1	8434	2495	19	5544
07293142	3122.5	5	7213	2557	19	5134
07293143	3644	2	6846	2398	74	4470
07293144	3130.5	1	6996	2319.5	19	4671
07293145	2633.5	0	8874	4100.5	0	7090
07293146	3410	1	7623	2216	20	5031
07293147	3768.5	3	8117	2650.5	38	5462
07293148	3314.5	0	7489	2539.5	17	5106
07293149	2467	0	7549	3586	1	6260
07293150	4132.5	2	8985	2556	47	5629
07293151	3261	1	6983	2640	58	4861
07293152	4188	5	9035	3498	15	6701
07293153	2191	7	4102	1407.5	694	2225
07293154	2247.5	0	5146	1925	63	3519
07293155	3369.5	4	7707	2786	27	5530
07293156	406.5	0	4369	1707	0	2852
07293157	3669	1	7966	2768	38	5749
07293158	3819	0	7771	3269	17	5900
07293159	2889	1	6200	2154	17	4447
07293160	3738	1	8381	3447.5	20	6297
07293161	3445	1	7075	2380.5	35	5138
07293162	2682	0	6126	2310	495	3861
07293163	2621	6	6163	2299	275	4052
07293164	3424	0	8199	3229	13	6085
07293165	2240	1	4868	1878	224	3215
07293166	2276	0	4972	1890	233	3123
07293167	2606.5	0	6041	2223.5	158	4085
07293168	2523	10	5881	2122	24	4166
07293169	2787	0	5982	2366.5	291	4072
07293170	3097	4	7277	2551	34	4932
07293171	3564	0	5909	3095	1081	4006
07293172	2948	0	5640	2053.5	91	3723
07293173	2799	6	5070	1921	96	3284
07293174	2961	0	5609	2279	361	3738
07293175	3397.5	0	6602	2791.5	596	4337
07293176	3029	0	8318	2725	42	5851
07293177	2833.5	0	5827	2272	194	3893
07293178	2823	0	6565	2330	198	4577
07293179	3362	3	7969	2726	232	5103
07293180	2901	1	6037	2472	224	4162
07293181	2490	1	5026	2015	273	3253
07293182	3120	1	6222	2505	477	4037
07293183	2676	0	5308	2316	627	3559
07293184	2708	5	6531	2298	43	4767
07293185	3487.5	2	7404	3127	814	5208
07293186	2758.5	0	6338	2447	171	4386
07293187	3027.5	1	6628	2729	605	4659
07293188	2969	0	6116	2488	217	4364
07293189	2534	0	5466	2142	174	3617
07293191	2795.5	1	5882	2493.5	407	4083
07293192	2726	0	5668	2643.5	815	3909
07293193	2136	0	3860	1696.5	243	2605
07293194	2674	0	7288	2410	21	4848
07293195	3221	3	7490	2769	185	5329
07293196	3708	1	7422	3465	975	5192
07293197	2915.5	5	6988	2457.5	55	4877
